红黄牌,出场,场均关键传球,创造绝佳机会,场均争顶成功,评分,进球,场均射门,场均射正,把握机会能力,场均过人,场均被侵犯,场均越位,场均抢断,场均拦截,场均解围,场均封堵,场均造越位,场均犯规,致命失误,助攻,创造绝佳机会,场均关键传球,场均传球,传球成功率,前场传球成功率,场均夺回球权,射正率,进球率,把握机会能力,传球成功率,前场传球成功率,中场传球成功率,后场传球成功率,传中成功率,长传成功率,直塞成功率,致命失误/失误
2,28(1),1.6,9,1.1,7.66,19,2.7,1.2,70%,1.9,1.7,0.6,0.8,0.3,0.8,0,-,1.4,-,6,9,1.6,47.2,89%,75%,5.7,44%,24%,70%,89%,75%,94%,97%,27%,64%,40%,-
1,16(2),1,3,1,7.49,11,5.1,2.1,56%,1.1,2.2,0.3,0.6,0.3,0.5,0.1,-,1.8,-,2,3,1,26.8,80%,73%,2.8,41%,12%,56%,80%,73%,87%,91%,11%,77%,-,-
0,1,-,-,-,6.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,50%,-,-,-,-,-,50%,-,100%,-,-,-,-,-
0,9(4),1.6,4,1,7.76,10,2.8,1.5,78%,0.9,1.3,0.2,0.5,-,0.8,0.2,-,0.8,-,5,4,1.6,15.6,83%,79%,1.3,53%,28%,78%,83%,79%,86%,100%,25%,80%,-,-
1,10,2.4,6,0.3,7.12,2,2,0.5,50%,2.3,4.4,0.3,0.7,0.5,0.1,-,-,1.6,-,3,6,2.4,32.9,84%,77%,3.4,25%,10%,50%,84%,77%,89%,91%,19%,68%,-,-
0,2(2),0.3,-,2,6.88,-,-,-,-,-,-,-,0.8,0.5,4.5,1.3,0.3,1.3,-,-,-,0.3,22.8,76%,29%,1.5,-,-,-,76%,29%,80%,95%,-,21%,-,-
2,18(2),0.1,-,2.2,6.98,1,0.4,0.1,50%,0.1,0.8,-,1.6,0.6,2.8,1.1,0.6,0.9,-,1,-,0.1,45.3,88%,62%,4.5,29%,14%,50%,88%,62%,90%,94%,17%,57%,-,-
3,23(2),1.4,9,0.9,7.24,11,2.8,1.2,39%,0.8,0.9,0.9,0.7,0.3,0.2,0,-,0.6,-,6,9,1.4,21.5,79%,69%,1.9,41%,15%,39%,79%,69%,88%,97%,34%,59%,-,-
2,27,1.6,14,1,7.3,4,2.1,0.7,14%,0.9,0.9,0.3,1.1,0.5,1,0.2,-,0.7,-,12,14,1.6,25.9,81%,72%,3.1,36%,7%,14%,81%,72%,87%,94%,21%,40%,50%,-
4,26,0.7,1,1.6,6.95,-,0.7,0.2,-,0.6,0.8,0,2.1,0.9,2.2,0.4,0.2,1.9,-,-,1,0.7,48.3,80%,62%,4,29%,-,-,80%,62%,84%,94%,21%,44%,100%,-
2,15(5),0.8,1,0.4,6.63,-,0.2,0.1,-,0.4,0.8,-,1.5,1,0.4,0.1,-,0.9,1,2,1,0.8,32.2,87%,79%,4,50%,-,-,87%,79%,91%,91%,7%,46%,-,5%
4,7(11),0.3,1,0.2,6.33,1,0.2,0.1,50%,0.4,0.4,0.1,0.6,0.6,0.4,0.1,0.1,1.1,1,-,1,0.3,23.6,83%,70%,2.3,33%,33%,50%,83%,70%,89%,97%,44%,47%,-,13%
4,26,1.3,12,1.3,7.36,14,3,1.1,47%,1.2,2.7,0.8,1.2,0.5,1.2,0.2,-,1.8,-,1,12,1.3,27.2,75%,67%,3,38%,18%,47%,75%,67%,80%,83%,23%,56%,33%,-
4,24,0.2,1,1.5,6.83,-,0.4,0,-,0.3,1,-,1.1,1,3.1,0.5,0.3,0.8,2,-,1,0.2,44.8,85%,60%,4.3,11%,-,-,85%,60%,88%,94%,26%,51%,-,17%
2,21(5),1.4,4,1,6.9,-,0.2,0.1,-,0.3,0.5,-,1.1,0.9,0.8,0.3,0,0.6,1,3,4,1.4,49.3,87%,73%,4.6,50%,-,-,87%,73%,91%,94%,30%,66%,100%,9%
2,4(1),0.2,-,0.4,6.55,-,-,-,-,0.2,0.4,-,1.4,0.6,3.2,0.4,0.6,1,-,-,-,0.2,29.8,81%,44%,3.4,-,-,-,81%,44%,80%,97%,-,41%,-,-
3,5(14),0.5,2,0.4,6.58,2,0.8,0.4,100%,0.4,1.2,0.4,1.2,0.3,0.5,-,0.1,0.9,-,1,2,0.5,17.2,82%,77%,2.3,47%,13%,100%,82%,77%,82%,95%,33%,35%,-,-
2,4(6),0.1,-,0.5,6.42,-,0.2,0.1,-,0.2,0.8,-,0.7,1.1,1,-,-,1.2,-,-,-,0.1,21.5,87%,77%,2.7,50%,-,-,87%,77%,90%,93%,14%,71%,-,-
2,11(3),1,1,0.9,6.74,-,0.2,0.1,-,0.5,1.4,-,1.8,0.4,1.5,0.1,0.3,1,-,-,1,1,37.9,87%,80%,5.5,67%,-,-,87%,80%,87%,92%,25%,50%,-,-
2,9(6),0.7,1,0.3,6.67,4,1.2,0.4,100%,0.3,0.5,-,0.7,0.3,0.2,0.1,-,1.1,-,-,1,0.7,26.2,82%,71%,2.5,33%,22%,100%,82%,71%,88%,89%,29%,31%,67%,-
2,11(2),1.7,2,0.7,6.93,-,0.1,-,-,0.2,0.5,0.2,1.4,0.5,1.9,-,0.5,0.8,-,2,2,1.7,32.6,83%,77%,3.7,-,-,-,83%,77%,85%,89%,44%,47%,-,-
4,18(1),0.8,2,1.3,6.76,-,1.2,0.4,-,0.3,0.7,-,2.5,1.2,1.1,0.2,-,1.1,-,2,2,0.8,39.7,84%,66%,4.9,30%,-,-,84%,66%,87%,96%,30%,62%,100%,-
2,9(1),-,-,1.2,6.42,-,0.5,0.1,-,0.2,0.7,-,0.8,0.8,1.3,0.1,-,1.2,-,-,-,-,15.9,73%,58%,2.1,20%,-,-,73%,58%,76%,89%,7%,42%,-,-
1,6,0.3,-,1,6.7,-,-,-,-,-,0.7,-,1.7,1.7,2.2,0.8,-,0.3,1,-,-,0.3,41.5,88%,45%,4.5,-,-,-,88%,45%,91%,95%,-,38%,-,50%
0,5(7),0.4,1,0.2,6.38,1,1.5,0.6,100%,1.5,1.1,0.1,0.2,0.3,0.3,0.2,-,0.7,-,-,1,0.4,11.3,78%,64%,1.4,39%,6%,100%,78%,64%,87%,92%,14%,83%,-,-
3,11(4),0.5,-,1.7,6.63,2,0.9,0.4,25%,-,0.5,0.1,1.1,1,2.7,0.3,0.2,1.7,-,1,-,0.5,24.2,77%,47%,3,46%,15%,25%,77%,47%,82%,90%,20%,27%,-,-
0,0(1),-,-,-,6.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,100%,-,-,-,-,-,100%,-,100%,-,-,-,-,-
0,0(1),-,-,-,6.15,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,7,57%,-,1,-,-,-,57%,-,100%,-,-,-,-,-
3,9(7),1,3,0.8,6.82,-,0.3,0.1,-,0.4,0.9,-,1.3,1.5,0.8,0.1,-,1.3,1,3,3,1,41.2,86%,77%,5.1,20%,-,-,86%,77%,90%,91%,100%,72%,100%,8%
0,0(1),-,-,-,7.12,1,1,1,100%,-,-,-,1,-,-,-,-,1,-,-,-,-,3,100%,-,-,100%,100%,100%,100%,-,100%,-,-,-,-,-
0,0(1),1,-,-,6.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,100%,-,-,-
0,14(2),1.4,3,0.9,7.34,10,3.1,1.6,40%,0.8,1.5,0.5,0.4,0.2,0.7,0.2,-,1.4,-,4,3,1.4,20.3,78%,72%,2,53%,20%,40%,78%,72%,83%,91%,13%,33%,-,-
1,4(3),1.7,-,0.1,6.82,-,1.7,1,-,0.7,0.6,-,0.9,0.7,0.7,0.1,-,0.9,-,-,-,1.7,42.4,86%,77%,3.4,58%,-,-,86%,77%,90%,91%,28%,65%,-,-
2,30,3.1,10,0.7,8.16,15,3.9,1.7,82%,2.4,3,0.2,1.7,0.7,0.7,-,-,0.8,-,10,10,3.1,79,84%,74%,6.7,43%,13%,82%,84%,74%,92%,94%,28%,64%,20%,-
0,17,2.6,9,0.2,7.96,8,3.1,1.3,100%,2.5,3.1,0.2,1.6,0.4,0.1,0.1,-,1,-,6,9,2.6,66.8,84%,71%,4.5,42%,15%,100%,84%,71%,94%,92%,56%,58%,42%,-
2,25(2),0.9,6,1.9,7.1,9,3.4,1.3,38%,1.4,2.6,0.2,0.5,0.2,0.9,0.1,-,0.9,-,2,6,0.9,22.4,78%,63%,2.4,38%,10%,38%,78%,63%,86%,84%,20%,63%,100%,-
2,21(4),0.4,-,0.8,6.81,2,0.6,0.1,100%,0.7,1,-,2.5,1.2,0.9,0.2,-,1.8,-,-,-,0.4,44.8,84%,71%,5.2,14%,14%,100%,84%,71%,89%,90%,-,41%,-,-
0,25(1),0.2,-,1.8,6.85,-,0.3,0.1,-,0.4,0.4,0,1.3,1.3,3.2,1,0.3,0.8,1,-,-,0.2,48.5,87%,63%,6.8,22%,-,-,87%,63%,87%,95%,-,49%,-,6%
1,23(1),1.4,3,0.3,6.84,2,1.1,0.5,33%,0.6,0.8,0.1,0.6,0.6,0.3,0,-,0.8,-,3,3,1.4,46.8,84%,73%,4.4,41%,7%,33%,84%,73%,90%,91%,19%,56%,13%,-
3,19(6),0.7,4,1.8,6.93,8,2.7,0.8,20%,0.8,1.1,0.9,0.6,0,0.3,0,-,1.4,-,5,4,0.7,18,73%,61%,1.7,31%,12%,20%,73%,61%,81%,96%,25%,50%,50%,-
3,21(5),0.7,2,0.4,6.77,-,0.6,0.1,-,0.3,1,0,2.5,1,0.8,0.2,-,0.8,-,2,2,0.7,54,90%,73%,6,13%,-,-,90%,73%,92%,98%,40%,66%,50%,-
1,10(16),0.5,1,0.4,6.57,7,1.4,0.7,50%,0.3,0.5,0.4,0.2,0,0,0.1,-,0.4,-,-,1,0.5,9.8,82%,76%,1.1,50%,19%,50%,82%,76%,87%,88%,50%,100%,-,-
2,25,0.7,3,1.2,6.86,-,0.5,0.1,-,0.6,1.7,0.2,2.3,1,2,0.3,0.2,1.3,-,1,3,0.7,39.4,79%,73%,4.9,23%,-,-,79%,73%,82%,86%,20%,39%,-,-
2,18,0.6,3,0.8,6.75,-,0.4,-,-,0.2,0.7,0.2,2.7,0.8,1.7,0.1,-,1.2,-,1,3,0.6,48.3,82%,66%,4.2,-,-,-,82%,66%,87%,92%,16%,36%,-,-
7,25,0.2,2,2.6,7.06,4,1.1,0.4,67%,0.2,0.8,0,1.4,1.8,3.1,0.6,0.2,1.5,2,1,2,0.2,42.9,87%,60%,5.5,36%,14%,67%,87%,60%,87%,96%,-,50%,-,15%
5,26,0.1,1,1.4,6.65,-,0.4,0.1,-,0.6,0.8,-,2.5,1.2,4.2,0.3,0.6,1.6,2,-,1,0.1,38.5,78%,52%,4.7,20%,-,-,78%,52%,84%,86%,40%,49%,-,15%
1,14(4),1.2,2,0.2,6.76,2,1.3,0.4,67%,0.6,1.1,0.1,1.6,0.8,0.1,0.1,-,1.2,-,2,2,1.2,41.2,87%,76%,4.7,33%,8%,67%,87%,76%,92%,94%,23%,53%,-,-
2,6(6),0.1,1,1.9,6.44,-,0.7,0.3,-,-,0.3,0.1,0.3,0.3,2.3,0.4,0.1,0.6,-,1,1,0.1,23.3,86%,64%,2.5,38%,-,-,86%,64%,88%,89%,-,49%,-,-
0,2(14),0.3,-,0.2,6.16,1,0.3,0.1,50%,0.1,0.3,-,0.2,0.1,0.2,-,-,0.2,-,-,-,0.3,7.3,80%,66%,0.4,40%,20%,50%,80%,66%,91%,100%,25%,67%,-,-
2,10(3),1.2,2,0.2,6.83,-,0.2,-,-,0.3,0.7,0.1,2.2,1.2,1.2,0.3,-,1.3,-,2,2,1.2,38.1,84%,77%,4.8,-,-,-,84%,77%,85%,91%,26%,47%,-,-
1,2(7),0.6,1,0.1,6.39,1,1,0.4,-,0.8,0.2,0.1,0.2,0.1,0.1,-,-,0.7,-,-,1,0.6,10.3,78%,69%,1.4,44%,11%,-,78%,69%,86%,86%,11%,-,-,-
1,3(1),-,-,0.5,6.48,-,0.3,0.3,-,0.5,-,-,0.3,0.5,1,0.3,0.3,0.8,-,-,-,-,33,77%,74%,2.8,100%,-,-,77%,74%,76%,82%,-,27%,-,-
2,7,-,-,2.4,5.97,-,0.1,-,-,0.1,0.9,-,1,1,3.6,1.1,0.6,1.6,1,-,-,-,42,87%,60%,2.9,-,-,-,87%,60%,86%,94%,-,41%,-,100%
1,4(7),0.1,-,0.5,6.41,-,0.1,-,-,0.2,0.5,-,1.3,0.9,0.4,0.1,-,0.5,-,-,-,0.1,28.5,89%,77%,3.1,-,-,-,89%,77%,89%,97%,50%,47%,-,-
2,0(8),-,-,0.3,5.98,-,0.5,-,-,0.3,0.3,0.4,0.1,-,0.1,-,-,0.6,-,-,-,-,3.6,76%,56%,0.5,-,-,-,76%,56%,100%,100%,14%,-,-,-
0,0(4),-,-,-,6.02,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,1,100%,-,-,-,-,-,100%,-,100%,-,-,-,-,-
4,28,3.6,21,0.7,7.97,9,2.8,1,36%,1.9,2.4,0.1,1.4,0.7,0.5,-,-,1.1,-,13,21,3.6,63.9,80%,70%,5.4,35%,12%,36%,80%,70%,88%,91%,28%,70%,40%,-
1,7(4),1.5,4,0.5,7.42,9,3,1.7,75%,0.7,0.8,1,0.3,0.1,0.7,-,-,0.5,-,3,4,1.5,20.5,78%,70%,1.8,58%,27%,75%,78%,70%,87%,71%,75%,75%,100%,-
5,25,1.8,9,1.1,7.53,10,3.4,1.1,50%,3.2,3,0.2,0.8,0.2,0.2,0.1,0,2.1,2,6,9,1.8,31.6,74%,64%,3.6,33%,12%,50%,74%,64%,85%,86%,24%,73%,100%,2%
1,14(3),1.4,3,0.4,7.09,4,1.2,0.5,100%,0.6,0.9,-,1.5,0.6,0.8,0.1,-,1.1,-,2,3,1.4,51.8,85%,73%,7.6,38%,19%,100%,85%,73%,89%,94%,17%,66%,67%,-
1,23(2),0.4,-,1.1,6.75,1,0.5,0.1,20%,0.3,0.2,0,1.1,1.1,1.8,0.4,0.2,1.3,1,3,-,0.4,30.5,83%,74%,3.1,17%,8%,20%,83%,74%,86%,86%,38%,44%,-,6%
